Name,Beds,Baths,Half Baths,Main Level SF,Upper Level SF,Lower Level SF,Porch & Deck SF,Garage SF,Garage Apartment SF,Heated SF,Total SF,Type,Render Front,Elevation Front,Elevation Left,Elevation Rear,Elevation Right,Floor Plan Main,Floor Plan Upper,Floor Plan Lower,Poster
Abilene,3,2,1,1478,0,0,384,0,0,1478,1862,single_level,abilene--render--front.jpg,abilene--elevation--front.jpg,abilene--elevation--left.jpg,abilene--elevation--rear.jpg,abilene--elevation--right.jpg,abilene--floor-plan--main.jpg,,,abilene--poster.jpg
Angler,3,2,1,2224,1432,0,832,614,0,3656,5102,multi_level,angler--render--front.jpg,angler--elevation--front.jpg,angler--elevation--left.jpg,angler--elevation--rear.jpg,angler--elevation--right.jpg,angler--floor-plan--main.jpg,angler--floor-plan--upper.jpg,,angler--poster.jpg
Armadillo Ranch,3,2,0,1150,297,0,152,0,0,1447,1599,multi_level,armadillo-ranch--render--front.jpg,armadillo-ranch--elevation--front.jpg,armadillo-ranch--elevation--left.jpg,armadillo-ranch--elevation--rear.jpg,armadillo-ranch--elevation--right.jpg,armadillo-ranch--floor-plan--main.jpg,armadillo-ranch--floor-plan--upper.jpg,,armadillo-ranch--poster.jpg
Arrowhead Lodge,3,2,1,2022,722,0,1992,0,0,2744,4736,multi_level,arrowhead-lodge--render--front.jpg,arrowhead-lodge--elevation--front.jpg,arrowhead-lodge--elevation--left.jpg,arrowhead-lodge--elevation--rear.jpg,arrowhead-lodge--elevation--right.jpg,arrowhead-lodge--floor-plan--main.jpg,arrowhead-lodge--floor-plan--upper.jpg,,arrowhead-lodge--poster.jpg
Ashby Camp,3,2,0,1200,830,0,480,0,0,2030,2510,multi_level,ashby-camp--render--front.jpg,ashby-camp--elevation--front.jpg,ashby-camp--elevation--left.jpg,ashby-camp--elevation--rear.jpg,ashby-camp--elevation--right.jpg,ashby-camp--floor-plan--main.jpg,ashby-camp--floor-plan--upper.jpg,,ashby-camp--poster.jpg
Ashe County Retreat,4,3,1,1797,1465,0,1072,0,0,3262,4334,multi_level,ashe-county-retreat--render--front.jpg,ashe-county-retreat--elevation--front.jpg,ashe-county-retreat--elevation--left.jpg,ashe-county-retreat--elevation--rear.jpg,ashe-county-retreat--elevation--right.jpg,ashe-county-retreat--floor-plan--main.jpg,ashe-county-retreat--floor-plan--upper.jpg,,ashe-county-retreat--poster.jpg
Ashley Cottage,3,2,1,1008,923,0,433,0,0,1931,2364,multi_level,ashley-cottage--render--front.jpg,ashley-cottage--elevation--front.jpg,ashley-cottage--elevation--left.jpg,ashley-cottage--elevation--rear.jpg,ashley-cottage--elevation--right.jpg,ashley-cottage--floor-plan--main.jpg,ashley-cottage--floor-plan--upper.jpg,,ashley-cottage--poster.jpg
Augusta,2,2,1,1262,1446,0,420,462,0,2708,3590,multi_level,augusta--render--front.jpg,augusta--elevation--front.jpg,augusta--elevation--left.jpg,augusta--elevation--rear.jpg,augusta--elevation--right.jpg,augusta--floor-plan--main.jpg,augusta--floor-plan--upper.jpg,,augusta--poster.jpg
Baby Doll,3,2,1,945,525,0,420,0,0,1470,1890,multi_level,baby-doll--render--front.jpg,baby-doll--elevation--front.jpg,baby-doll--elevation--left.jpg,baby-doll--elevation--rear.jpg,baby-doll--elevation--right.jpg,baby-doll--floor-plan--main.jpg,baby-doll--floor-plan--upper.jpg,,baby-doll--poster.jpg
Baby Moose,3,2,1,992,537,0,825,0,0,1529,2354,multi_level,baby-moose--render--front.jpg,baby-moose--elevation--front.jpg,baby-moose--elevation--left.jpg,baby-moose--elevation--rear.jpg,baby-moose--elevation--right.jpg,baby-moose--floor-plan--main.jpg,baby-moose--floor-plan--upper.jpg,,baby-moose--poster.jpg
Back Bay Cottage,3,3,0,1951,983,0,264,0,0,2934,3198,multi_level,back-bay-cottage--render--front.jpg,back-bay-cottage--elevation--front.jpg,back-bay-cottage--elevation--left.jpg,back-bay-cottage--elevation--rear.jpg,back-bay-cottage--elevation--right.jpg,back-bay-cottage--floor-plan--main.jpg,back-bay-cottage--floor-plan--upper.jpg,,back-bay-cottage--poster.jpg
Bald Eagle Lodge,4,4,3,2397,1040,2125,758,882,0,5562,7202,multi_level,bald-eagle-lodge--render--front.jpg,bald-eagle-lodge--elevation--front.jpg,bald-eagle-lodge--elevation--left.jpg,bald-eagle-lodge--elevation--rear.jpg,bald-eagle-lodge--elevation--right.jpg,bald-eagle-lodge--floor-plan--main.jpg,bald-eagle-lodge--floor-plan--upper.jpg,bald-eagle-lodge--floor-plan--lower.jpg,bald-eagle-lodge--poster.jpg
Baneberry,3,1,1,952,0,0,192,0,0,952,1144,single_level,baneberry--render--front.jpg,baneberry--elevation--front.jpg,baneberry--elevation--left.jpg,baneberry--elevation--rear.jpg,baneberry--elevation--right.jpg,baneberry--floor-plan--main.jpg,,,baneberry--poster.jpg
Bean Station Lodge,2,2,1,2037,196,0,920,0,0,2233,3153,multi_level,bean-station-lodge--render--front.jpg,bean-station-lodge--elevation--front.jpg,bean-station-lodge--elevation--left.jpg,bean-station-lodge--elevation--rear.jpg,bean-station-lodge--elevation--right.jpg,bean-station-lodge--floor-plan--main.jpg,bean-station-lodge--floor-plan--upper.jpg,,bean-station-lodge--poster.jpg
Bear Lake Lodge,3,3,1,2645,241,2645,1392,0,0,5531,6923,multi_level,bear-lake-lodge--render--front.jpg,bear-lake-lodge--elevation--front.jpg,bear-lake-lodge--elevation--left.jpg,bear-lake-lodge--elevation--rear.jpg,bear-lake-lodge--elevation--right.jpg,bear-lake-lodge--floor-plan--main.jpg,bear-lake-lodge--floor-plan--upper.jpg,bear-lake-lodge--floor-plan--lower.jpg,bear-lake-lodge--poster.jpg
Bee Branch Camp,3,3,1,1110,0,1110,735,402,0,2220,3357,single_level,bee-branch-camp--render--front.jpg,bee-branch-camp--elevation--front.jpg,bee-branch-camp--elevation--left.jpg,bee-branch-camp--elevation--rear.jpg,bee-branch-camp--elevation--right.jpg,bee-branch-camp--floor-plan--main.jpg,,bee-branch-camp--floor-plan--lower.jpg,bee-branch-camp--poster.jpg
Beechwood,2,1,0,1031,0,0,263,0,0,1031,1294,single_level,beechwood--render--front.jpg,beechwood--elevation--front.jpg,beechwood--elevation--left.jpg,beechwood--elevation--rear.jpg,beechwood--elevation--right.jpg,beechwood--floor-plan--main.jpg,,,beechwood--poster.jpg
Bickley Lodge,5,3,1,1393,999,1393,1023,585,0,3785,5393,multi_level,bickley-lodge--render--front.jpg,bickley-lodge--elevation--front.jpg,bickley-lodge--elevation--left.jpg,bickley-lodge--elevation--rear.jpg,bickley-lodge--elevation--right.jpg,bickley-lodge--floor-plan--main.jpg,bickley-lodge--floor-plan--upper.jpg,bickley-lodge--floor-plan--lower.jpg,bickley-lodge--poster.jpg
Big Cypress Lodge,3,4,1,2793,1215,1192,754,576,0,5200,6530,multi_level,big-cypress-lodge--render--front.jpg,big-cypress-lodge--elevation--front.jpg,big-cypress-lodge--elevation--left.jpg,big-cypress-lodge--elevation--rear.jpg,big-cypress-lodge--elevation--right.jpg,big-cypress-lodge--floor-plan--main.jpg,big-cypress-lodge--floor-plan--upper.jpg,big-cypress-lodge--floor-plan--lower.jpg,big-cypress-lodge--poster.jpg
Big Dan Lodge,4,4,1,1922,1179,0,2178,0,0,3101,5279,multi_level,big-dan-lodge--render--front.jpg,big-dan-lodge--elevation--front.jpg,big-dan-lodge--elevation--left.jpg,big-dan-lodge--elevation--rear.jpg,big-dan-lodge--elevation--right.jpg,big-dan-lodge--floor-plan--main.jpg,big-dan-lodge--floor-plan--upper.jpg,,big-dan-lodge--poster.jpg
Big Rock Lodge,4,3,1,1419,859,0,883,0,0,2278,3161,multi_level,big-rock-lodge--render--front.jpg,big-rock-lodge--elevation--front.jpg,big-rock-lodge--elevation--left.jpg,big-rock-lodge--elevation--rear.jpg,big-rock-lodge--elevation--right.jpg,big-rock-lodge--floor-plan--main.jpg,big-rock-lodge--floor-plan--upper.jpg,,big-rock-lodge--poster.jpg
Bird Dog Camp,3,2,1,1468,0,1468,539,0,0,2936,3475,multi_level,bird-dog-camp--render--front.jpg,bird-dog-camp--elevation--front.jpg,bird-dog-camp--elevation--left.jpg,bird-dog-camp--elevation--rear.jpg,bird-dog-camp--elevation--right.jpg,bird-dog-camp--floor-plan--main.jpg,,bird-dog-camp--floor-plan--lower.jpg,bird-dog-camp--poster.jpg
Bison Camp,1,1,0,176,756,0,32,580,0,932,1544,multi_level,bison-camp--render--front.jpg,bison-camp--elevation--front.jpg,bison-camp--elevation--left.jpg,bison-camp--elevation--rear.jpg,bison-camp--elevation--right.jpg,bison-camp--floor-plan--main.jpg,bison-camp--floor-plan--upper.jpg,,bison-camp--poster.jpg
Black Cat Cabin,3,3,0,900,425,900,506,0,0,2225,2731,multi_level,black-cat-cabin--render--front.jpg,black-cat-cabin--elevation--front.jpg,black-cat-cabin--elevation--left.jpg,black-cat-cabin--elevation--rear.jpg,black-cat-cabin--elevation--right.jpg,black-cat-cabin--floor-plan--main.jpg,black-cat-cabin--floor-plan--upper.jpg,black-cat-cabin--floor-plan--lower.jpg,black-cat-cabin--poster.jpg
Black Fox Farm,3,2,1,1246,631,0,474,576,0,1877,2927,multi_level,black-fox-farm--render--front.jpg,black-fox-farm--elevation--front.jpg,black-fox-farm--elevation--left.jpg,black-fox-farm--elevation--rear.jpg,black-fox-farm--elevation--right.jpg,black-fox-farm--floor-plan--main.jpg,black-fox-farm--floor-plan--upper.jpg,,black-fox-farm--poster.jpg
Black Hawk Lodge,3,3,1,2280,1107,0,265,0,0,3387,3652,multi_level,black-hawk-lodge--render--front.jpg,black-hawk-lodge--elevation--front.jpg,black-hawk-lodge--elevation--left.jpg,black-hawk-lodge--elevation--rear.jpg,black-hawk-lodge--elevation--right.jpg,black-hawk-lodge--floor-plan--main.jpg,black-hawk-lodge--floor-plan--upper.jpg,,black-hawk-lodge--poster.jpg
Black Water Retreat,4,3,0,1400,0,1205,728,0,0,2605,3333,multi_level,black-water-retreat--render--front.jpg,black-water-retreat--elevation--front.jpg,black-water-retreat--elevation--left.jpg,black-water-retreat--elevation--rear.jpg,black-water-retreat--elevation--right.jpg,black-water-retreat--floor-plan--main.jpg,,black-water-retreat--floor-plan--lower.jpg,black-water-retreat--poster.jpg
Blue Rock Retreat,3,3,2,1795,0,859,908,732,0,2654,4294,multi_level,blue-rock-retreat--render--front.jpg,blue-rock-retreat--elevation--front.jpg,blue-rock-retreat--elevation--left.jpg,blue-rock-retreat--elevation--rear.jpg,blue-rock-retreat--elevation--right.jpg,blue-rock-retreat--floor-plan--main.jpg,,blue-rock-retreat--floor-plan--lower.jpg,blue-rock-retreat--poster.jpg
Boulder Mountain Lodge,4,3,0,2017,1062,0,770,601,0,3079,4450,multi_level,boulder-mountain-lodge--render--front.jpg,boulder-mountain-lodge--elevation--front.jpg,boulder-mountain-lodge--elevation--left.jpg,boulder-mountain-lodge--elevation--rear.jpg,boulder-mountain-lodge--elevation--right.jpg,boulder-mountain-lodge--floor-plan--main.jpg,boulder-mountain-lodge--floor-plan--upper.jpg,boulder-mountain-lodge--floor-plan--lower.jpg,boulder-mountain-lodge--poster.jpg
Brewski Camp,3,3,1,1541,0,1073,835,620,0,2614,4069,single_level,brewski-camp--render--front.jpg,brewski-camp--elevation--front.jpg,brewski-camp--elevation--left.jpg,brewski-camp--elevation--rear.jpg,brewski-camp--elevation--right.jpg,brewski-camp--floor-plan--main.jpg,,brewski-camp--floor-plan--lower.jpg,brewski-camp--poster.jpg
Brier Patch,2,2,1,1808,0,0,1040,0,0,1808,2848,single_level,brier-patch--render--front.jpg,brier-patch--elevation--front.jpg,brier-patch--elevation--left.jpg,brier-patch--elevation--rear.jpg,brier-patch--elevation--right.jpg,brier-patch--floor-plan--main.jpg,,,brier-patch--poster.jpg
Broken Moon Lodge,3,2,1,1454,875,0,923,0,0,2329,3252,multi_level,broken-moon-lodge--render--front.jpg,broken-moon-lodge--elevation--front.jpg,broken-moon-lodge--elevation--left.jpg,broken-moon-lodge--elevation--rear.jpg,broken-moon-lodge--elevation--right.jpg,broken-moon-lodge--floor-plan--main.jpg,broken-moon-lodge--floor-plan--upper.jpg,broken-moon-lodge--floor-plan--lower.jpg,broken-moon-lodge--poster.jpg
Bronco Lodge,3,2,1,1570,953,1570,714,0,0,4093,4807,multi_level,bronco-lodge--render--front.jpg,bronco-lodge--elevation--front.jpg,bronco-lodge--elevation--left.jpg,bronco-lodge--elevation--rear.jpg,bronco-lodge--elevation--right.jpg,bronco-lodge--floor-plan--main.jpg,bronco-lodge--floor-plan--upper.jpg,bronco-lodge--floor-plan--lower.jpg,bronco-lodge--poster.jpg
